"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: threadCount"
"benchmarks.SynchronizationBenchmarkTest.testAtomic","thrpt",1,3,171088238.795222,2585184.299487,"ops/s",1
"benchmarks.SynchronizationBenchmarkTest.testAtomic:·async","thrpt",1,1,NaN,NaN,"---",1
"benchmarks.SynchronizationBenchmarkTest.testAtomic:·cpi","thrpt",1,1,0.844811,NaN,"clks/insn",1
"benchmarks.SynchronizationBenchmarkTest.testAtomic:·ipc","thrpt",1,1,1.183697,NaN,"insns/clk",1
"benchmarks.SynchronizationBenchmarkTest.testAtomic:·perf","thrpt",1,1,NaN,NaN,"---",1
"benchmarks.SynchronizationBenchmarkTest.testNonVolatileNumber","thrpt",1,3,63760601.086298,2401575.233425,"ops/s",1
"benchmarks.SynchronizationBenchmarkTest.testNonVolatileNumber:·async","thrpt",1,1,NaN,NaN,"---",1
"benchmarks.SynchronizationBenchmarkTest.testNonVolatileNumber:·cpi","thrpt",1,1,1.208959,NaN,"clks/insn",1
"benchmarks.SynchronizationBenchmarkTest.testNonVolatileNumber:·ipc","thrpt",1,1,0.827158,NaN,"insns/clk",1
"benchmarks.SynchronizationBenchmarkTest.testNonVolatileNumber:·perf","thrpt",1,1,NaN,NaN,"---",1
"benchmarks.SynchronizationBenchmarkTest.testVolatile","thrpt",1,3,50381916.341669,3067973.731674,"ops/s",1
"benchmarks.SynchronizationBenchmarkTest.testVolatile:·async","thrpt",1,1,NaN,NaN,"---",1
"benchmarks.SynchronizationBenchmarkTest.testVolatile:·cpi","thrpt",1,1,1.661468,NaN,"clks/insn",1
"benchmarks.SynchronizationBenchmarkTest.testVolatile:·ipc","thrpt",1,1,0.601877,NaN,"insns/clk",1
"benchmarks.SynchronizationBenchmarkTest.testVolatile:·perf","thrpt",1,1,NaN,NaN,"---",1
