"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: threadCount"
"benchmarks.SynchronizationBenchmarkTest.testAtomic","thrpt",1,30,174134596.671950,365647.967357,"ops/s",1
"benchmarks.SynchronizationBenchmarkTest.testAtomic:·async","thrpt",1,1,NaN,NaN,"---",1
"benchmarks.SynchronizationBenchmarkTest.testAtomic:·cpi","thrpt",1,1,0.844242,NaN,"clks/insn",1
"benchmarks.SynchronizationBenchmarkTest.testAtomic:·ipc","thrpt",1,1,1.184495,NaN,"insns/clk",1
"benchmarks.SynchronizationBenchmarkTest.testAtomic:·perf","thrpt",1,1,NaN,NaN,"---",1
"benchmarks.SynchronizationBenchmarkTest.testNonVolatileNumber","thrpt",1,30,290253243.811797,682545.633480,"ops/s",1
"benchmarks.SynchronizationBenchmarkTest.testNonVolatileNumber:·async","thrpt",1,1,NaN,NaN,"---",1
"benchmarks.SynchronizationBenchmarkTest.testNonVolatileNumber:·cpi","thrpt",1,1,0.262896,NaN,"clks/insn",1
"benchmarks.SynchronizationBenchmarkTest.testNonVolatileNumber:·ipc","thrpt",1,1,3.803789,NaN,"insns/clk",1
"benchmarks.SynchronizationBenchmarkTest.testNonVolatileNumber:·perf","thrpt",1,1,NaN,NaN,"---",1
"benchmarks.SynchronizationBenchmarkTest.testVolatile","thrpt",1,30,137722803.883473,4445723.591052,"ops/s",1
"benchmarks.SynchronizationBenchmarkTest.testVolatile:·async","thrpt",1,1,NaN,NaN,"---",1
"benchmarks.SynchronizationBenchmarkTest.testVolatile:·cpi","thrpt",1,1,0.654646,NaN,"clks/insn",1
"benchmarks.SynchronizationBenchmarkTest.testVolatile:·ipc","thrpt",1,1,1.527542,NaN,"insns/clk",1
"benchmarks.SynchronizationBenchmarkTest.testVolatile:·perf","thrpt",1,1,NaN,NaN,"---",1
